Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 15 Aug 2009 (W33),Aberdeen FC (1),1-3,0-3,Celtic FC (1)
?,(Sat) 15 Aug 2009 (W33),Hibernian FC (1),2-1,1-1,Saint Mirren FC (1)
?,(Sat) 15 Aug 2009 (W33),Kilmarnock FC (1),3-0,1-0,Hamilton Academical FC (1)
?,(Sat) 15 Aug 2009 (W33),Rangers FC (1),4-1,2-1,Falkirk (1)
?,(Sat) 15 Aug 2009 (W33),St Johnstone FC (1),2-2,1-0,Motherwell FC (1)
?,(Mon) 17 Aug 2009 (W34),Dundee United (1),2-0,1-0,Heart of Midlothian FC (1)
?,(Sat) 22 Aug 2009 (W34),Celtic FC (2),5-2,2-1,St Johnstone FC (2)
?,(Sat) 22 Aug 2009 (W34),Falkirk (2),1-3,1-1,Hibernian FC (2)
?,(Sat) 22 Aug 2009 (W34),Hamilton Academical FC (2),0-3,0-2,Aberdeen FC (2)
?,(Sat) 22 Aug 2009 (W34),Motherwell FC (2),3-1,2-0,Kilmarnock FC (2)
?,(Sat) 22 Aug 2009 (W34),Saint Mirren FC (2),0-0,0-0,Dundee United (2)
?,(Sun) 23 Aug 2009 (W34),Heart of Midlothian FC (2),1-2,1-0,Rangers FC (2)
?,(Sat) 29 Aug 2009 (W35),Aberdeen FC (3),0-0,0-0,Motherwell FC (3)
?,(Sat) 29 Aug 2009 (W35),Dundee United (3),2-1,0-0,Falkirk (3)
?,(Sat) 29 Aug 2009 (W35),Kilmarnock FC (3),1-2,1-0,Saint Mirren FC (3)
?,(Sat) 29 Aug 2009 (W35),Rangers FC (3),4-1,2-0,Hamilton Academical FC (3)
?,(Sun) 30 Aug 2009 (W35),Hibernian FC (3),0-1,0-1,Celtic FC (3)
?,(Sun) 30 Aug 2009 (W35),St Johnstone FC (3),2-2,1-0,Heart of Midlothian FC (3)
?,(Sat) 12 Sep 2009 (W37),Celtic FC (4),1-1,1-1,Dundee United (4)
?,(Sat) 12 Sep 2009 (W37),Motherwell FC (4),0-0,0-0,Rangers FC (4)
?,(Sat) 12 Sep 2009 (W37),Saint Mirren FC (4),1-1,1-1,St Johnstone FC (4)
?,(Sun) 13 Sep 2009 (W37),Hamilton Academical FC (4),2-0,2-0,Hibernian FC (4)
